date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2025-04-25,2024-25,1,WSH,MTL,1,1,2,1,2024030133
2025-04-25,2024-25,1,CAR,NJD,0,1,1,1,2024030143
2025-04-25,2024-25,1,LAK,EDM,1,2,3,0,2024030183
2025-04-26,2024-25,1,TOR,OTT,1,2,3,0,2024030114
2025-04-26,2024-25,1,TBL,FLA,1,1,2,1,2024030123
2025-04-26,2024-25,1,DAL,COL,0,2,2,1,2024030164
2025-04-26,2024-25,1,VGK,MIN,1,1,2,1,2024030174
2025-04-27,2024-25,1,WSH,MTL,0,0,0,1,2024030134
2025-04-27,2024-25,1,CAR,NJD,2,0,2,1,2024030144
2025-04-27,2024-25,1,WPG,STL,1,1,2,1,2024030154
2025-04-27,2024-25,1,LAK,EDM,1,0,1,1,2024030184
2025-04-28,2024-25,1,TBL,FLA,0,0,0,1,2024030124
2025-04-28,2024-25,1,COL,DAL,0,2,2,1,2024030165
2025-04-29,2024-25,1,OTT,TOR,0,0,0,1,2024030115
2025-04-29,2024-25,1,NJD,CAR,3,0,3,0,2024030145
2025-04-29,2024-25,1,MIN,VGK,1,2,3,0,2024030175
2025-04-29,2024-25,1,EDM,LAK,0,0,0,1,2024030185
2025-04-30,2024-25,1,FLA,TBL,2,2,4,0,2024030125
2025-04-30,2024-25,1,MTL,WSH,0,2,2,1,2024030135
2025-04-30,2024-25,1,STL,WPG,1,2,3,0,2024030155
2025-05-01,2024-25,1,TOR,OTT,1,0,1,1,2024030116
2025-05-01,2024-25,1,DAL,COL,0,2,2,1,2024030166
2025-05-01,2024-25,1,VGK,MIN,1,1,2,1,2024030176
2025-05-01,2024-25,1,LAK,EDM,2,3,5,0,2024030186
2025-05-02,2024-25,1,WPG,STL,0,1,1,1,2024030156
2025-05-03,2024-25,1,COL,DAL,0,0,0,1,2024030167
